PrimaryKey,DataType,Value,StatusCode,SourceTimeStamp,ServerTimeStamp
2,0x000a,26.2939,0x00000000,2016-11-10T16:08:32.826Z,2016-11-10T16:08:33.250Z
1,0x000a,1.55334,0x00000000,2016-11-10T16:08:32.803Z,2016-11-10T16:08:33.250Z
3,0x000a,0.683594,0x00000000,2016-11-10T16:08:33.543Z,2016-11-10T16:08:33.952Z
2,0x000a,27.1637,0x00000000,2016-11-10T16:08:33.508Z,2016-11-10T16:08:33.952Z
1,0x000a,1.55029,0x00000000,2016-11-10T16:08:33.474Z,2016-11-10T16:08:33.952Z
3,0x000a,0.680542,0x00000000,2016-11-10T16:08:34.274Z,2016-11-10T16:08:34.676Z
2,0x000a,27.5299,0x00000000,2016-11-10T16:08:34.241Z,2016-11-10T16:08:34.676Z
1,0x000a,1.5564,0x00000000,2016-11-10T16:08:34.205Z,2016-11-10T16:08:34.675Z
3,0x000a,0.701904,0x00000000,2016-11-10T16:08:34.973Z,2016-11-10T16:08:35.327Z
2,0x000a,23.9899,0x00000000,2016-11-10T16:08:34.922Z,2016-11-10T16:08:35.326Z
3,0x000a,0.753784,0x00000000,2016-11-10T16:08:35.656Z,2016-11-10T16:08:35.977Z
2,0x000a,27.4353,0x00000000,2016-11-10T16:08:35.590Z,2016-11-10T16:08:35.977Z
1,0x000a,1.68762,0x00000000,2016-11-10T16:08:35.523Z,2016-11-10T16:08:35.977Z
3,0x000a,0.720215,0x00000000,2016-11-10T16:08:36.343Z,2016-11-10T16:08:36.723Z
2,0x000a,27.3834,0x00000000,2016-11-10T16:08:36.319Z,2016-11-10T16:08:36.723Z
1,0x000a,1.52283,0x00000000,2016-11-10T16:08:36.286Z,2016-11-10T16:08:36.722Z
2,0x000a,27.1576,0x00000000,2016-11-10T16:08:37.012Z,2016-11-10T16:08:37.368Z
1,0x000a,1.50757,0x00000000,2016-11-10T16:08:36.970Z,2016-11-10T16:08:37.367Z
3,0x000a,0.732422,0x00000000,2016-11-10T16:08:37.687Z,2016-11-10T16:08:38.030Z
2,0x000a,24.3622,0x00000000,2016-11-10T16:08:37.659Z,2016-11-10T16:08:38.030Z
1,0x000a,1.67847,0x00000000,2016-11-10T16:08:37.610Z,2016-11-10T16:08:38.029Z
3,0x000a,0.775146,0x00000000,2016-11-10T16:08:38.360Z,2016-11-10T16:08:38.703Z
2,0x000a,26.767,0x00000000,2016-11-10T16:08:38.328Z,2016-11-10T16:08:38.702Z
1,0x000a,1.51062,0x00000000,2016-11-10T16:08:38.278Z,2016-11-10T16:08:38.702Z
3,0x000a,0.720215,0x00000000,2016-11-10T16:08:39.016Z,2016-11-10T16:08:39.370Z
2,0x000a,27.0447,0x00000000,2016-11-10T16:08:38.980Z,2016-11-10T16:08:39.370Z
1,0x000a,1.62659,0x00000000,2016-11-10T16:08:38.951Z,2016-11-10T16:08:39.370Z
2,0x000a,24.2554,0x00000000,2016-11-10T16:08:39.655Z,2016-11-10T16:08:40.082Z
1,0x000a,1.65405,0x00000000,2016-11-10T16:08:39.615Z,2016-11-10T16:08:40.081Z
3,0x000a,0.759888,0x00000000,2016-11-10T16:08:40.412Z,2016-11-10T16:08:40.783Z
2,0x000a,25.0854,0x00000000,2016-11-10T16:08:40.423Z,2016-11-10T16:08:40.783Z
1,0x000a,1.51367,0x00000000,2016-11-10T16:08:40.385Z,2016-11-10T16:08:40.783Z
